,country,year,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
22,Greece,2023,15986.202792869382,20.65386025641197,100.00027630371721
23,Greece,2024,15273.51006291491,20.712666058780545,100.00033044300947
24,Greece,2025,14560.817332960438,20.77147186114912,100.00038458230173
20,Cabo Verde,2021,3192.270898651301,8.433339297832774,91.70025052259088
21,Cabo Verde,2022,3316.94063138588,8.433345262365366,91.70043436770897
22,Cabo Verde,2023,3441.610364120458,8.43335122689796,91.70061821282707
23,Cabo Verde,2024,3566.2800968550364,8.433357191430552,91.70080205794515
24,Cabo Verde,2025,3690.9498295896146,8.433363155963146,91.70098590306326
20,Ghana,2021,2280.925202743775,6.360968230630303,88.71750225388071
21,Ghana,2022,2356.3243177437753,6.407202371455082,88.73500450716402
22,Ghana,2023,2431.723432743775,6.453436512279861,88.75250676044733
23,Ghana,2024,2507.122547743775,6.499670653104641,88.77000901373064
24,Ghana,2025,2582.5216627437753,6.54590479392942,88.78751126701395
20,Germany,2021,47590.92847825622,33.501916352573986,100.0
21,Germany,2022,49094.88277046456,33.501913845548714,100.0
22,Germany,2023,50598.8370626729,33.50191133852344,100.0
23,Germany,2024,52102.791354881236,33.50190883149817,100.0
24,Germany,2025,53606.74564708957,33.5019063244729,100.0
20,Uzbekistan,2021,1675.2524396471813,171.72912644463153,87.29999988060307
21,Uzbekistan,2022,1626.5553100029101,173.5584024083425,87.29999974207196
22,Uzbekistan,2023,1577.858180358639,175.38767837205344,87.29999960354084
23,Uzbekistan,2024,1529.161050714368,177.2169543357644,87.29999946500972
24,Uzbekistan,2025,1480.4639210700968,179.04623029947535,87.29999932647861
20,Georgia,2021,4073.9314231772496,5.319913132944919,99.99740933415522
21,Georgia,2022,4162.0621116146785,5.253116173144919,99.99603933800535
22,Georgia,2023,4250.1928000521075,5.18631921334492,99.99466934185546
23,Georgia,2024,4338.323488489537,5.11952225354492,99.99329934570557
24,Georgia,2025,4426.454176926966,5.0527252937449205,99.99192934955568
